host,motivo
elastic-search-hom02 ,Sem ICMP e SSH (possível offline/rota/firewall)
elastic-search-tit01 ,ICMP bloqueado (sem ping)
elk-corp ,ICMP bloqueado (sem ping)
ELKHL01 ,ICMP bloqueado (sem ping)
ELKHL02 ,ICMP bloqueado (sem ping)
ELKPL01 ,ICMP bloqueado (sem ping)
ELKPL02 ,ICMP bloqueado (sem ping)
elk-qualidade-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
elk-qualidade-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
empp-gw-prd-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
eris-1.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
fix-hom2-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
fix-hom2-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
fix-ocs-p01 ,Sem ICMP e SSH (possível offline/rota/firewall)
fix-ocs-p02 ,Sem ICMP e SSH (possível offline/rota/firewall)
fix-ocs-p03 ,Sem ICMP e SSH (possível offline/rota/firewall)
fix-ocs-p04 ,Sem ICMP e SSH (possível offline/rota/firewall)
fix-prd-3 ,Sem ICMP e SSH (possível offline/rota/firewall)
fix-prd-4 ,Sem ICMP e SSH (possível offline/rota/firewall)
follow-tech-prd01 ,ICMP bloqueado (sem ping)
frontend-allcom-01.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
frontend-allcom-02.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
frontend-burst-01.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
frontend-hom01_1910 ,Sem ICMP e SSH (possível offline/rota/firewall)
frontend-scm-01.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
frontend-sinfra-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
frontend-sinfra-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
ftp-operacao-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
gaio-app-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
gaioapppx01 ,Sem ICMP e SSH (possível offline/rota/firewall)
gaio-db-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
gaiodbpx01 ,Sem ICMP e SSH (possível offline/rota/firewall)
gaiodbpx02 ,Sem ICMP e SSH (possível offline/rota/firewall)
gaiohx01 ,Sem ICMP e SSH (possível offline/rota/firewall)
GERCLIENTES ,Sem ICMP e SSH (possível offline/rota/firewall)
gerencia.planeta.net ,Sem ICMP e SSH (possível offline/rota/firewall)
gerencia-hom2-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
gerencia-prd-1 ,Sem ICMP e SSH (possível offline/rota/firewall)
gerencia-prd-2 ,Sem ICMP e SSH (possível offline/rota/firewall)
getraf-tst01 ,Sem ICMP e SSH (possível offline/rota/firewall)
gifeprd01_NEW ,Sem ICMP e SSH (possível offline/rota/firewall)
gpf-hom-app01 ,ICMP bloqueado (sem ping)
gpf-prd-app01 ,ICMP bloqueado (sem ping)
grafana-01-apm.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
grafana-02-apm.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
grafana-correios-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
grv-prd-backend ,Sem ICMP e SSH (possível offline/rota/firewall)
grv-prd-bd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
grv-prd-frontend ,Sem ICMP e SSH (possível offline/rota/firewall)
gsuite ,Sem ICMP e SSH (possível offline/rota/firewall)
gsuite.staging ,Sem ICMP e SSH (possível offline/rota/firewall)
gw-123milhas-hml01 ,Sem ICMP e SSH (possível offline/rota/firewall)
gw-123milhas-hml02 ,Sem ICMP e SSH (possível offline/rota/firewall)
gw-123milhas-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
gw-123milhas-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
haproxy1 ,ICMP bloqueado (sem ping)
henas ,Sem ICMP e SSH (possível offline/rota/firewall)
http-proxy-omni-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
iam-01.prd.iot ,Sem ICMP e SSH (possível offline/rota/firewall)
icd-app-prd06 ,Sem ICMP e SSH (possível offline/rota/firewall)
icd-db-rep-dev01 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpmaster-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpmaster-prd03 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpmaster-stg01 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpmaster-stg02 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpmaster-stg03 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpmgmt-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpmgmt-stg01 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpproxyex-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpproxyex-prd02 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpproxyex-stg01 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpproxyex-stg02 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpproxy-prd01 ,Sem ICMP e SSH (possível offline/rota/firewall)
icpproxy-stg02 ,Sem ICMP e SSH (possível offline/rota/firewall)
