host,icmp_ok,ssh_open,python_version
cce-service-hom02,False,True,Python 2.7.5
cce-service-prd03,True,True,Python 2.7.5
cce-service-prd04,True,True,Python 2.7.5
cce-view-hom01,True,True,Python 2.7.5
cce-view-hom02,True,True,Python 2.7.5
cce-view-prd01,True,True,Python 2.7.5
cce-view-prd02,True,True,Python 2.7.5
cds1,False,True,Python 2.7.5
cds2,False,True,Python 2.7.5
cds3,False,True,Python 2.7.5
cds-hos-17,True,True,Python 2.7.5
cdsprd01,True,True,Python 2.7.5
ciscoar-prd01,True,True,Python 2.7.5
ciscoar-prd02,False,False,n/a
ciscoar-tra,False,False,n/a
citrus-app-omni-prd01,False,False,n/a
citrus-app-omni-prd02,False,False,n/a
citrus-app-omni-prd03,False,False,n/a
citrus-app-omni-prd04,False,False,n/a
citrus-bd-omni-prd01,False,False,n/a
citrus-bd-omni-prd02,False,False,n/a
clik-hom-app01,False,False,n/a
clik-hom-bd02,False,False,n/a
cloud12c01,True,True,Python 2.7.5
cloud12c02,True,True,Python 2.7.5
cloudcontrolapp,True,True,Python 2.7.5
cloud-crm,True,True,Python 2.7.5
cloud-mediacao,False,True,Python 2.7.5
cloud-receita,True,True,Python 2.7.5
cm.staging,False,False,n/a
Cmdb-db-prd01,True,True,Python 2.7.5
cms01-portal-hml,True,True,Python 2.7.5
cms01-portal-prd,True,True,Python 2.7.5
cms02-portal-hml,True,True,Python 2.7.5
cms02-portal-prd,True,True,Python 2.7.5
cognos-db-prd01,True,True,Python 2.7.5
comando-prd,False,False,n/a
com-hom-app01,True,True,Python 2.7.5
com-hom-app02,True,True,Python 2.7.5
com-hom-cache01,True,True,Python 2.7.5
com-hom-cache02,True,True,Python 2.7.5
com-hom-srv01,True,True,Python 2.7.5
com-hom-srv02,True,True,Python 2.7.5
comissaodes.network,False,False,n/a
comissaohmg01,True,True,Python 2.7.5
comissaoprd01,True,True,Python 2.7.5
com-prd-app01,True,True,Python 2.7.5
com-prd-app02,True,True,Python 2.7.5
com-prd-cache01,True,True,Python 2.7.5
com-prd-cache02,True,True,Python 2.7.5
com-prd-srv01,True,True,Python 2.7.5
com-prd-srv02,True,True,Python 2.7.5
com-tit-app01,True,True,Python 2.7.5
com-tit-esb01,True,True,Python 2.7.5
com-tit-srv01,True,True,Python 2.7.5
com-tst-cache01,True,True,Python 2.7.5
com-tst-esb01,True,True,Python 2.7.5
consumers-moniot-prd01,False,False,n/a
consumers-moniot-prd02,False,False,n/a
consumers-moniot-prd04,False,False,n/a
consumers-moniot-prd05,False,False,n/a
consumers-moniot-prd06,False,False,n/a
consumers-moniot-prd07,False,False,n/a
consumers-moniot-prd08,False,False,n/a
cont-hom-app01,True,True,Python 2.7.5
cont-hom-app02,True,True,Python 2.7.5
cont-prd-app01,True,True,Python 2.7.5
cont-prd-app02,True,True,Python 2.7.5
cont-tit-app01,True,True,Python 2.7.5
cont-tst-app01,True,True,Python 2.7.5
corbkpcel,True,True,Python 2.7.5
core-hom-app01,False,True,Python 2.7.5
core-hom-app02,False,True,Python 2.7.5
core-prd-app01,True,True,Python 2.7.5
core-prd-app02,True,True,Python 2.7.5
core-prd-app03,False,False,n/a
core-prd-app04,True,True,Python 2.7.5
core-prd-app05,True,True,Python 2.7.5
core-prd-balancer01,False,False,n/a
corp-prd-app01,True,True,Python 2.7.5
couchbase2-soa-prd01,True,True,Python 2.7.5
couchbase2-soa-prd02,True,True,Python 2.7.5
couchbase3-soa-prd01,True,True,Python 2.7.5
couchbase3-soa-prd02,True,True,Python 2.7.5
couchbase-soa-prd01,True,True,Python 2.7.5
couchbase-soa-prd02,True,True,Python 2.7.5
cpgr-hml01,False,True,Python 2.7.5
cpgr-prd01,False,True,Python 2.7.5
crm-hom-adm01,True,True,Python 2.7.5
crm-hom-app01,True,True,Python 2.7.5
crm-hom-app02,True,True,Python 2.7.5
crm-hom-app03,True,True,Python 2.7.5
crm-hom-cache01,True,True,Python 2.7.5
crm-hom-cache02,True,True,Python 2.7.5
crm-hom-jms01,True,True,Python 2.7.5
crm-hom-jms02,True,True,Python 2.7.5
crm-hom-rules02,True,True,Python 2.7.5
crm-hom-solar01,True,True,Python 2.7.5
crm-hom-solar02,True,True,Python 2.7.5
crm-hom-visao01,True,True,Python 2.7.5
crm-hom-visao02,True,True,Python 2.7.5
crm-prd-adm01,True,True,Python 2.7.5
crm-prd-app01,True,True,Python 2.7.5
crm-prd-app03,True,True,Python 2.7.5
crm-prd-app04,True,True,Python 2.7.5
crm-prd-app05,True,True,Python 2.7.5
crm-prd-cache01New,False,False,n/a
crm-prd-cache02New,False,False,n/a
crm-prd-jms01,True,True,Python 2.7.5
crm-prd-jms02,True,True,Python 2.7.5
crm-prd-job01,True,True,Python 2.7.5
crm-prd-job02,True,True,Python 2.7.5
crm-prd-job03,True,True,Python 2.7.5
crm-prd-rules01,True,True,Python 2.7.5
crm-prd-rules02,True,True,Python 2.7.5
crm-prd-rules03,True,True,Python 2.7.5
crm-prd-rules04,True,True,Python 2.7.5
crm-prd-rules05,True,True,Python 2.7.5
crm-prd-rules06,True,True,Python 2.7.5
crm-prd-solar01,True,True,Python 2.7.5
crm-prd-solar02,True,True,Python 2.7.5
crm-prd-solar03,True,True,Python 2.7.5
crm-prd-visao01,True,True,Python 2.7.5
crm-prd-visao02,True,True,Python 2.7.5
crm-prd-visao03,True,True,Python 2.7.5
crm-prd-visao04,True,True,Python 2.7.5
crm-prd-ws01,True,True,Python 2.7.5
crm-prd-ws02,True,True,Python 2.7.5
crm-prd-ws03,True,True,Python 2.7.5
crm-prd-ws04,True,True,Python 2.7.5
crm-tit-adm01,True,True,Python 2.7.5
crm-tit-app01,True,True,Python 2.7.5
crm-tit-cache01,True,True,Python 2.7.5
crm-tit-solar01,True,True,Python 2.7.5
crm-tst-adm01,True,True,Python 2.7.5
crm-tst-cache01,True,True,Python 2.7.5
crm-tst-solar01,True,True,Python 2.7.5
crv-hom-cis01,False,False,n/a
crv-hom-cis-frontend,True,True,Python 2.7.5
crv-hom-guru01,False,False,n/a
crv-prd-app03,False,False,n/a
crv-prd-backend-cis01,False,False,n/a
crv-prd-backend-cis02,False,False,n/a
crv-prd-balancer,False,False,n/a
crv-prd-bd01,False,False,n/a
crv-prd-cis-balancer,False,False,n/a
crv-prd-cis-frontend,False,False,n/a
csocacti,False,False,n/a
ctbcapp01,True,True,Python 2.7.5
ctbcapp02,True,True,Python 2.7.5
dashhx01,True,True,Python 2.7.5
dashpx01,True,True,Python 2.7.5
data-lgpd-prd01,True,True,Python 2.7.5
data-lgpd-prd02,True,True,Python 2.7.5
data-lgpd-prd03,True,True,Python 2.7.5
dataserver-hom2-1,False,False,n/a
dataserver-prd-1,True,True,Python 2.7.5
dataserver-prd-2,True,True,Python 2.7.5
datastagehom01,True,True,Python 2.7.5
datastageprd01,True,True,Python 2.7.5
dbatools-app01,False,False,n/a
dbhx01,False,False,n/a
db-policy-prd01-236,False,False,n/a
db-policy-prd01-238,False,False,n/a
db-policy-prd02-236,False,False,n/a
db-policy-prd02-238,False,False,n/a
db-policy-prd03-236,False,False,n/a
db-policy-prd03-238,False,False,n/a
director-hml,False,False,n/a
dmviewdb-ula,True,True,Python 2.7.5
dns-prd-1.ocs.algartelecom.com.br,False,False,n/a
dns-prd-2,False,False,n/a
dns-privatecloud-prd01,False,False,n/a
dns-privatecloud-prd02,False,False,n/a
dnstic-prd01,False,False,n/a
dnstic-prd02,False,False,n/a
docs.prd.iot,False,False,n/a
eaq-gerencia-prd01,True,True,Python 2.7.5
ebd-pem-soa-prd01,False,False,n/a
ebd-pem-soa-prd02,False,False,n/a
eb-hom-ws02,True,True,Python 2.7.5
ebinvoicehmgapp01,True,True,Python 2.7.5
ebinvoicehmgapp02,True,True,Python 2.7.5
ebinvoicehmgdav01,True,True,Python 2.7.5
ebinvoicehmgdav02,True,True,Python 2.7.5
ebinvoiceprdapp01,True,True,Python 2.7.5
ebinvoiceprdapp02,True,True,Python 2.7.5
ebinvoiceprddav01,True,True,Python 2.7.5
ebinvoiceprddav01_new,False,False,n/a
ebinvoiceprddav02,True,True,Python 2.7.5
eb-prd-ws01,True,True,Python 2.7.5
eb-prd-ws02,True,True,Python 2.7.5
ecomm03_NEW,False,False,n/a
ecomm04_NEW,False,False,n/a
edb-soa-prd01,True,True,Python 2.7.5
edb-soa-prd02,True,True,Python 2.7.5
eir-adm-prd01,True,True,Python 2.7.5
eir-diameter-prd01,True,True,Python 2.7.5
eir-diameter-prd02,True,True,Python 2.7.5
