hostname,ip_address,status,response_time,last_tested_at,description,pendencies,failure_reason
tr069-api-hml01,172.20.10.78,connected,444,2025-09-10 17:39:12,Conectividade OK via bastion,,
bpmweb-prd02.cloudalgartelecom.com.br,10.51.76.139,failed,0,2025-09-10 17:39:12,Timeout na conexão,Verificar latência/ACL/VPN,timeout
qualidade-hom01,172.20.4.171,connected,196,2025-09-10 17:39:12,Conectividade OK via bastion,,
qualidade-prd03,172.20.4.167,connected,314,2025-09-10 17:39:12,Conectividade OK via bastion,,
qualidade-prd01,172.20.4.165,connected,356,2025-09-10 17:39:12,Conectividade OK via bastion,,
npi-clients-prd01-,172.20.39.109,connected,443,2025-09-10 17:39:12,Conectividade OK via bastion,,
qualidade-prd02,172.20.4.166,connected,358,2025-09-10 17:39:12,Conectividade OK via bastion,,
tpdu05,172.20.46.41,connected,185,2025-09-10 17:39:12,Conectividade OK via bastion,,
qualidade-prd04,172.20.4.168,connected,358,2025-09-10 17:39:12,Conectividade OK via bastion,,
tpdu06,172.20.46.42,connected,198,2025-09-10 17:39:12,Conectividade OK via bastion,,
tpdu07,172.20.46.43,connected,203,2025-09-10 17:39:12,Conectividade OK via bastion,,
smokeping-prd01,172.20.39.212,connected,495,2025-09-10 17:39:12,Conectividade OK via bastion,,
TPDU01_prd,172.20.46.37,connected,318,2025-09-10 17:39:12,Conectividade OK via bastion,,
tpdu08,172.20.46.44,connected,213,2025-09-10 17:39:12,Conectividade OK via bastion,,
LB02_prd,172.20.46.36,connected,352,2025-09-10 17:39:12,Conectividade OK via bastion,,
dbhx01,172.20.25.10,failed,0,2025-09-10 17:39:12,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
tpdu02,172.20.46.38,connected,331,2025-09-10 17:39:12,Conectividade OK via bastion,,
tpdu03,172.20.46.39,connected,340,2025-09-10 17:39:12,Conectividade OK via bastion,,
acsdb-01,172.20.25.4,failed,0,2025-09-10 17:39:12,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
tpdu04,172.20.46.40,connected,360,2025-09-10 17:39:12,Conectividade OK via bastion,,
traffic-analyser-prd04,172.20.49.13,connected,164,2025-09-10 17:39:13,Conectividade OK via bastion,,
traffic-analyser-prd01,172.20.49.10,connected,198,2025-09-10 17:39:13,Conectividade OK via bastion,,
traffic-analyser-prd09,172.20.49.18,connected,113,2025-09-10 17:39:13,Conectividade OK via bastion,,
traffic-analyser-prd05,172.20.49.14,connected,184,2025-09-10 17:39:13,Conectividade OK via bastion,,
traffic-analyser-prd02,172.20.49.11,connected,216,2025-09-10 17:39:13,Conectividade OK via bastion,,
tcr-ula-prd03,172.20.49.8,connected,182,2025-09-10 17:39:13,Conectividade OK via bastion,,
mon_pain_ince_prd01,172.20.0.109,connected,1470,2025-09-10 17:39:13,Conectividade OK via bastion,,
traffic-analyser-prd03,172.20.49.12,connected,376,2025-09-10 17:39:13,Conectividade OK via bastion,,
traffic-analyser-prd07,172.20.49.16,connected,320,2025-09-10 17:39:13,Conectividade OK via bastion,,
tcr-ula-prd04,172.20.49.9,connected,233,2025-09-10 17:39:13,Conectividade OK via bastion,,
traffic-analyser-prd06,172.20.49.15,connected,382,2025-09-10 17:39:13,Conectividade OK via bastion,,
eir-map-prd01,172.20.5.80,connected,266,2025-09-10 17:39:13,Conectividade OK via bastion,,
traffic-analyser-prd08,172.20.49.17,connected,401,2025-09-10 17:39:13,Conectividade OK via bastion,,
eir-map-prd02,172.20.5.81,connected,286,2025-09-10 17:39:13,Conectividade OK via bastion,,
pl5-eventos-prd10,172.20.5.20,connected,316,2025-09-10 17:39:13,Conectividade OK via bastion,,
eir-adm-prd01,172.20.5.82,connected,195,2025-09-10 17:39:13,Conectividade OK via bastion,,
eir-map-prd03,172.20.5.83,connected,200,2025-09-10 17:39:13,Conectividade OK via bastion,,
eir-map-prd04,172.20.5.84,connected,176,2025-09-10 17:39:13,Conectividade OK via bastion,,
eir-diameter-prd03,172.20.5.92,connected,203,2025-09-10 17:39:13,Conectividade OK via bastion,,
eir-diameter-prd01,172.20.5.90,connected,251,2025-09-10 17:39:13,Conectividade OK via bastion,,
eir-diameter-prd02,172.20.5.91,connected,230,2025-09-10 17:39:13,Conectividade OK via bastion,,
eir-diameter-prd04,172.20.5.93,connected,199,2025-09-10 17:39:13,Conectividade OK via bastion,,
bd-conf-phone-hml01,172.20.50.122,connected,215,2025-09-10 17:39:13,Conectividade OK via bastion,,
mxtic-prd01,10.51.94.210,failed,0,2025-09-10 17:39:13,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
api-prd02-iot,172.20.50.12,connected,406,2025-09-10 17:39:13,Conectividade OK via bastion,,
teams-vsession-prd06,172.20.50.189,connected,229,2025-09-10 17:39:13,Conectividade OK via bastion,,
telegraf-gateway-01.prd.iot,172.20.50.14,connected,422,2025-09-10 17:39:13,Conectividade OK via bastion,,
frontend-allcom-01.prd.iot,172.20.50.13,connected,434,2025-09-10 17:39:13,Conectividade OK via bastion,,
scm-01.prd.iot,172.20.50.16,connected,345,2025-09-10 17:39:13,Conectividade OK via bastion,,
docs.prd.iot,172.20.50.15,connected,454,2025-09-10 17:39:13,Conectividade OK via bastion,,
telegraf-gateway-02.prd.iot,172.20.50.17,connected,430,2025-09-10 17:39:13,Conectividade OK via bastion,,
influxdb-01-apm.prd.iot,172.20.50.18,connected,425,2025-09-10 17:39:13,Conectividade OK via bastion,,
teams-vsession-prd01,172.20.50.210,connected,215,2025-09-10 17:39:13,Conectividade OK via bastion,,
MCP-SERVER01,172.20.14.59,connected,1796,2025-09-10 17:39:14,Conectividade OK via bastion,,
influxdb-02-apm.prd.iot,172.20.50.19,connected,445,2025-09-10 17:39:14,Conectividade OK via bastion,,
teams-vsession-prd05,172.20.50.218,connected,243,2025-09-10 17:39:14,Conectividade OK via bastion,,
influxdb-03-apm.prd.iot,172.20.50.20,connected,418,2025-09-10 17:39:14,Conectividade OK via bastion,,
grafana-01-apm.prd.iot,172.20.50.21,connected,429,2025-09-10 17:39:14,Conectividade OK via bastion,,
proxy-01.prd.iot,172.20.50.41,connected,225,2025-09-10 17:39:14,Conectividade OK via bastion,,
kapacitor-01-apm.prd.iot,172.20.50.23,connected,389,2025-09-10 17:39:14,Conectividade OK via bastion,,
grafana-02-apm.prd.iot,172.20.50.22,connected,427,2025-09-10 17:39:14,Conectividade OK via bastion,,
kapacitor-02-apm.prd.iot,172.20.50.24,connected,394,2025-09-10 17:39:14,Conectividade OK via bastion,,
bd-sip-phone-prd01,172.20.50.66,connected,147,2025-09-10 17:39:14,Conectividade OK via bastion,,
insight-ingestion,172.20.49.197,connected,315,2025-09-10 17:39:14,Conectividade OK via bastion,,
api-prd01-iot,172.20.50.25,connected,422,2025-09-10 17:39:14,Conectividade OK via bastion,,
lb-api-01.prd.iot,172.20.50.26,connected,437,2025-09-10 17:39:14,Conectividade OK via bastion,,
frontend-allcom-02.prd.iot,172.20.50.38,connected,437,2025-09-10 17:39:14,Conectividade OK via bastion,,
app-phone-prd01,172.20.50.74,connected,242,2025-09-10 17:39:14,Conectividade OK via bastion,,
eir-map-prd05,172.20.5.85,failed,0,2025-09-10 17:39:14,Rede inacessível,Corrigir rota/DNS/VPN/firewall,network_unreachable
frontend-scm-01.prd.iot,172.20.50.39,connected,436,2025-09-10 17:39:14,Conectividade OK via bastion,,
app-phone-prd02,172.20.50.75,connected,223,2025-09-10 17:39:14,Conectividade OK via bastion,,
bd-conf-phone-prd01,172.20.50.86,connected,204,2025-09-10 17:39:14,Conectividade OK via bastion,,
frontend-burst-01.prd.iot,172.20.50.42,connected,437,2025-09-10 17:39:14,Conectividade OK via bastion,,
app-sq-phone-prd02,172.20.50.77,connected,263,2025-09-10 17:39:14,Conectividade OK via bastion,,
bd-conf-phone-prd02,172.20.50.85,connected,263,2025-09-10 17:39:14,Conectividade OK via bastion,,
app-sq-phone-prd01,172.20.50.76,connected,302,2025-09-10 17:39:14,Conectividade OK via bastion,,
bd-log-phone-prd01,172.20.50.87,connected,208,2025-09-10 17:39:14,Conectividade OK via bastion,,
bd-log-phone-prd02,172.20.50.88,connected,217,2025-09-10 17:39:14,Conectividade OK via bastion,,
planeta-idp-hom-1,172.20.51.35,connected,219,2025-09-10 17:39:14,Conectividade OK via bastion,,
iam-01.prd.iot,172.20.50.8,connected,410,2025-09-10 17:39:14,Conectividade OK via bastion,,
proventos-hom-1,172.20.51.37,connected,198,2025-09-10 17:39:14,Conectividade OK via bastion,,
planeta-idp-hom-2,172.20.51.36,connected,199,2025-09-10 17:39:14,Conectividade OK via bastion,,
stream-moniot-hml03,172.20.53.18,connected,164,2025-09-10 17:39:14,Conectividade OK via bastion,,
planeta-idp-prd01,172.20.51.3,connected,255,2025-09-10 17:39:14,Conectividade OK via bastion,,
planeta-idp-prd02,172.20.51.4,connected,214,2025-09-10 17:39:14,Conectividade OK via bastion,,
